"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos
"2026-06-06T10:09:09.587193+00:00 ubuntusoc sshd[4866]: message repeated 2 times: [ Failed password for invalid user ubuntusoc from 192.168.56.104 port 59170 ssh2]","2026-06-06T10:09:09.587+0000",10,6,9,june,9,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[________...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:09:08.127359+00:00 ubuntusoc sshd[4866]: Failed password for invalid user ubuntusoc from 192.168.56.104 port 59170 ssh2","2026-06-06T10:09:08.127+0000",10,6,9,june,8,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:________...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:50.211236+00:00 ubuntusoc sshd[4831]: Failed password for root from 192.168.56.104 port 45510 ssh2","2026-06-06T10:08:50.211+0000",10,6,8,june,50,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:47.994092+00:00 ubuntusoc sshd[4827]: message repeated 2 times: [ Failed password for root from 192.168.56.104 port 43172 ssh2]","2026-06-06T10:08:47.994+0000",10,6,8,june,47,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[______...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:46.282156+00:00 ubuntusoc sshd[4827]: Failed password for root from 192.168.56.104 port 43172 ssh2","2026-06-06T10:08:46.282+0000",10,6,8,june,46,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:43.059572+00:00 ubuntusoc sshd[4818]: message repeated 2 times: [ Failed password for root from 192.168.56.104 port 43168 ssh2]","2026-06-06T10:08:43.059+0000",10,6,8,june,43,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[______...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:41.224396+00:00 ubuntusoc sshd[4818]: Failed password for root from 192.168.56.104 port 43168 ssh2","2026-06-06T10:08:41.224+0000",10,6,8,june,41,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:39.185026+00:00 ubuntusoc sshd[4810]: message repeated 2 times: [ Failed password for root from 192.168.56.104 port 47786 ssh2]","2026-06-06T10:08:39.185+0000",10,6,8,june,39,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[______...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:37.490717+00:00 ubuntusoc sshd[4810]: Failed password for root from 192.168.56.104 port 47786 ssh2","2026-06-06T10:08:37.490+0000",10,6,8,june,37,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:34.683394+00:00 ubuntusoc sshd[4796]: message repeated 2 times: [ Failed password for root from 192.168.56.104 port 47780 ssh2]","2026-06-06T10:08:34.683+0000",10,6,8,june,34,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[______...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:32.575814+00:00 ubuntusoc sshd[4796]: Failed password for root from 192.168.56.104 port 47780 ssh2","2026-06-06T10:08:32.575+0000",10,6,8,june,32,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:28.629547+00:00 ubuntusoc sshd[4784]: message repeated 2 times: [ Failed password for root from 192.168.56.104 port 37616 ssh2]","2026-06-06T10:08:28.629+0000",10,6,8,june,28,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:____:_[______...___]","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
"2026-06-06T10:08:26.695175+00:00 ubuntusoc sshd[4784]: Failed password for root from 192.168.56.104 port 37616 ssh2","2026-06-06T10:08:26.695+0000",10,6,8,june,26,saturday,2026,0,,ubuntusoc,main,1,"--::.+:__[]:______...___","/var/log/auth.log","linux_auth",ubuntusoc,,,,32,0
